movie, genre, vector
Toy Story (1995),Adventure,0.426031398996,0.284226540896
Toy Story (1995),Animation,0.426031398996,0.284226540896
Toy Story (1995),Children,0.426031398996,0.284226540896
Toy Story (1995),Comedy,0.426031398996,0.284226540896
Toy Story (1995),Fantasy,0.426031398996,0.284226540896
Jumanji (1995),Adventure,-0.811837612686,0.678755081385
Jumanji (1995),Children,-0.811837612686,0.678755081385
Jumanji (1995),Fantasy,-0.811837612686,0.678755081385
Heat (1995),Action,-0.349999234075,-0.622290055966
Heat (1995),Crime,-0.349999234075,-0.622290055966
Heat (1995),Thriller,-0.349999234075,-0.622290055966
GoldenEye (1995),Action,-0.60680739526,0.566812993151
GoldenEye (1995),Adventure,-0.60680739526,0.566812993151
GoldenEye (1995),Thriller,-0.60680739526,0.566812993151
"American President,  The (1995)",Comedy,-1.00761867697,0.177778859983
"American President,  The (1995)",Drama,-1.00761867697,0.177778859983
"American President,  The (1995)",Romance,-1.00761867697,0.177778859983
Casino (1995),Crime,0.260208995708,-0.733057705695
Casino (1995),Drama,0.260208995708,-0.733057705695
Sense and Sensibility (1995),Drama,-0.23800434532,-1.09058440265
Sense and Sensibility (1995),Romance,-0.23800434532,-1.09058440265
Ace Ventura: When Nature Calls (1995),Comedy,-2.64392029645,1.99864364774
Get Shorty (1995),Comedy,0.611868077016,1.04049313285
Get Shorty (1995),Crime,0.611868077016,1.04049313285
Get Shorty (1995),Thriller,0.611868077016,1.04049313285
Leaving Las Vegas (1995),Drama,-0.560614012829,-1.57217113827
Leaving Las Vegas (1995),Romance,-0.560614012829,-1.57217113827
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery,0.717768157701,0.0540671593976
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Sci-Fi,0.717768157701,0.0540671593976
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Thriller,0.717768157701,0.0540671593976
Babe (1995),Children,-1.09738833021,-0.612993990454
Babe (1995),Drama,-1.09738833021,-0.612993990454
Dead Man Walking (1995),Crime,0.567405139715,0.454762741054
Dead Man Walking (1995),Drama,0.567405139715,0.454762741054
Clueless (1995),Comedy,-0.7735405799,-0.365473147534
Clueless (1995),Romance,-0.7735405799,-0.365473147534
Seven (a.k.a. Se7en) (1995),Mystery,0.84584542508,-0.51651926196
Seven (a.k.a. Se7en) (1995),Thriller,0.84584542508,-0.51651926196
"Usual Suspects,  The (1995)",Crime,0.990364819095,-0.88184072061
"Usual Suspects,  The (1995)",Mystery,0.990364819095,-0.88184072061
"Usual Suspects,  The (1995)",Thriller,0.990364819095,-0.88184072061
Mr. Holland's Opus (1995),Drama,-0.174611673704,0.678110967592
Broken Arrow (1996),Action,-1.66035945383,0.834689195716
Broken Arrow (1996),Adventure,-1.66035945383,0.834689195716
Broken Arrow (1996),Thriller,-1.66035945383,0.834689195716
Happy Gilmore (1996),Comedy,-0.582518209067,1.99785035382
Braveheart (1995),Action,-0.678750395475,-0.915865135233
Braveheart (1995),Drama,-0.678750395475,-0.915865135233
Braveheart (1995),War,-0.678750395475,-0.915865135233
Taxi Driver (1976),Crime,0.950831222662,-1.63804853611
Taxi Driver (1976),Drama,0.950831222662,-1.63804853611
Taxi Driver (1976),Thriller,0.950831222662,-1.63804853611
"Birdcage,  The (1996)",Comedy,-0.330988207245,0.957456248378
Apollo 13 (1995),Adventure,-0.0935517975407,-0.149825062185
Apollo 13 (1995),Drama,-0.0935517975407,-0.149825062185
Apollo 13 (1995),IMAX,-0.0935517975407,-0.149825062185
Batman Forever (1995),Action,-2.35442692067,2.21580346011
Batman Forever (1995),Adventure,-2.35442692067,2.21580346011
Batman Forever (1995),Comedy,-2.35442692067,2.21580346011
Batman Forever (1995),Crime,-2.35442692067,2.21580346011
Crimson Tide (1995),Drama,-0.0647745759808,0.908222934659
Crimson Tide (1995),Thriller,-0.0647745759808,0.908222934659
Crimson Tide (1995),War,-0.0647745759808,0.908222934659
Die Hard: With a Vengeance (1995),Action,-0.675063864231,0.177185299712
Die Hard: With a Vengeance (1995),Crime,-0.675063864231,0.177185299712
Die Hard: With a Vengeance (1995),Thriller,-0.675063864231,0.177185299712
"Net,  The (1995)",Action,-1.51456875434,0.881507190535
"Net,  The (1995)",Crime,-1.51456875434,0.881507190535
"Net,  The (1995)",Thriller,-1.51456875434,0.881507190535
Waterworld (1995),Action,-2.79840894267,1.47136643346
Waterworld (1995),Adventure,-2.79840894267,1.47136643346
Waterworld (1995),Sci-Fi,-2.79840894267,1.47136643346
Clerks (1994),Comedy,1.19146157316,0.476282898937
Dumb & Dumber (Dumb and Dumber) (1994),Adventure,-2.14902653976,-0.206441941029
Dumb & Dumber (Dumb and Dumber) (1994),Comedy,-2.14902653976,-0.206441941029
Interview with the Vampire: The Vampire Chronicles (1994),Drama,-0.28381892875,1.26203333923
Interview with the Vampire: The Vampire Chronicles (1994),Horror,-0.28381892875,1.26203333923
Star Wars: Episode IV - A New Hope (1977),Action,1.34597622069,-0.279315223306
Star Wars: Episode IV - A New Hope (1977),Adventure,1.34597622069,-0.279315223306
Star Wars: Episode IV - A New Hope (1977),Sci-Fi,1.34597622069,-0.279315223306
Natural Born Killers (1994),Action,-0.219237563122,1.66097389834
Natural Born Killers (1994),Crime,-0.219237563122,1.66097389834
Natural Born Killers (1994),Thriller,-0.219237563122,1.66097389834
Outbreak (1995),Action,-1.09252724257,1.42020887083
Outbreak (1995),Drama,-1.09252724257,1.42020887083
Outbreak (1995),Sci-Fi,-1.09252724257,1.42020887083
Outbreak (1995),Thriller,-1.09252724257,1.42020887083
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action,0.881595195576,-0.427111811027
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Crime,0.881595195576,-0.427111811027
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Drama,0.881595195576,-0.427111811027
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Thriller,0.881595195576,-0.427111811027
Pulp Fiction (1994),Comedy,0.972866382941,-0.957776643271
Pulp Fiction (1994),Crime,0.972866382941,-0.957776643271
Pulp Fiction (1994),Drama,0.972866382941,-0.957776643271
Pulp Fiction (1994),Thriller,0.972866382941,-0.957776643271
Quiz Show (1994),Drama,-0.309416621621,-0.428557359972
Stargate (1994),Action,-0.808107471456,0.843269235927
Stargate (1994),Adventure,-0.808107471456,0.843269235927
Stargate (1994),Sci-Fi,-0.808107471456,0.843269235927
"Shawshank Redemption,  The (1994)",Crime,1.25866869629,-0.857008264295
"Shawshank Redemption,  The (1994)",Drama,1.25866869629,-0.857008264295
Star Trek: Generations (1994),Adventure,-1.27110500307,1.36140278883
Star Trek: Generations (1994),Drama,-1.27110500307,1.36140278883
Star Trek: Generations (1994),Sci-Fi,-1.27110500307,1.36140278883
What's Eating Gilbert Grape (1993),Drama,0.0755445666783,-0.623646628502
While You Were Sleeping (1995),Comedy,-1.16964838275,-0.342064009332
While You Were Sleeping (1995),Romance,-1.16964838275,-0.342064009332
Ace Ventura: Pet Detective (1994),Comedy,-1.79889761931,1.95380675263
Clear and Present Danger (1994),Action,-0.385542446363,0.071731497714
Clear and Present Danger (1994),Crime,-0.385542446363,0.071731497714
Clear and Present Danger (1994),Drama,-0.385542446363,0.071731497714
Clear and Present Danger (1994),Thriller,-0.385542446363,0.071731497714
Forrest Gump (1994),Comedy,-0.297619029873,-0.557299630937
Forrest Gump (1994),Drama,-0.297619029873,-0.557299630937
Forrest Gump (1994),Romance,-0.297619029873,-0.557299630937
Forrest Gump (1994),War,-0.297619029873,-0.557299630937
Four Weddings and a Funeral (1994),Comedy,-0.876033225612,-0.673779730336
Four Weddings and a Funeral (1994),Romance,-0.876033225612,-0.673779730336
"Lion King,  The (1994)",Adventure,-0.066100170934,0.220891739568
"Lion King,  The (1994)",Animation,-0.066100170934,0.220891739568
"Lion King,  The (1994)",Children,-0.066100170934,0.220891739568
"Lion King,  The (1994)",Drama,-0.066100170934,0.220891739568
"Lion King,  The (1994)",Musical,-0.066100170934,0.220891739568
"Lion King,  The (1994)",IMAX,-0.066100170934,0.220891739568
"Mask,  The (1994)",Action,-1.70904845485,0.602872879497
"Mask,  The (1994)",Comedy,-1.70904845485,0.602872879497
"Mask,  The (1994)",Crime,-1.70904845485,0.602872879497
"Mask,  The (1994)",Fantasy,-1.70904845485,0.602872879497
Speed (1994),Action,-0.989811228994,0.368096014536
Speed (1994),Romance,-0.989811228994,0.368096014536
Speed (1994),Thriller,-0.989811228994,0.368096014536
True Lies (1994),Action,-0.841061373914,0.24938590532
True Lies (1994),Adventure,-0.841061373914,0.24938590532
True Lies (1994),Comedy,-0.841061373914,0.24938590532
True Lies (1994),Romance,-0.841061373914,0.24938590532
True Lies (1994),Thriller,-0.841061373914,0.24938590532
Cliffhanger (1993),Action,-1.62170407721,1.09343315773
Cliffhanger (1993),Adventure,-1.62170407721,1.09343315773
Cliffhanger (1993),Thriller,-1.62170407721,1.09343315773
Dave (1993),Comedy,-0.517475674112,0.21003316838
Dave (1993),Romance,-0.517475674112,0.21003316838
Demolition Man (1993),Action,-2.13058604878,1.12010014679
Demolition Man (1993),Adventure,-2.13058604878,1.12010014679
Demolition Man (1993),Sci-Fi,-2.13058604878,1.12010014679
"Firm,  The (1993)",Drama,-0.750686645218,0.601794512021
"Firm,  The (1993)",Thriller,-0.750686645218,0.601794512021
"Fugitive,  The (1993)",Thriller,-0.130623313492,-0.338727432065
In the Line of Fire (1993),Action,-0.365067074925,-0.189628636528
In the Line of Fire (1993),Thriller,-0.365067074925,-0.189628636528
Jurassic Park (1993),Action,-0.335885671389,0.206231210838
Jurassic Park (1993),Adventure,-0.335885671389,0.206231210838
Jurassic Park (1993),Sci-Fi,-0.335885671389,0.206231210838
Jurassic Park (1993),Thriller,-0.335885671389,0.206231210838
Mrs. Doubtfire (1993),Comedy,-0.983663374616,0.456404837219
Mrs. Doubtfire (1993),Drama,-0.983663374616,0.456404837219
Philadelphia (1993),Drama,-0.903539287642,-0.0789383603029
Schindler's List (1993),Drama,1.18322320875,-0.94524780252
Schindler's List (1993),War,1.18322320875,-0.94524780252
Sleepless in Seattle (1993),Comedy,-1.25490822603,0.318694864519
Sleepless in Seattle (1993),Drama,-1.25490822603,0.318694864519
Sleepless in Seattle (1993),Romance,-1.25490822603,0.318694864519
Blade Runner (1982),Action,0.685694849529,-0.700250854959
Blade Runner (1982),Sci-Fi,0.685694849529,-0.700250854959
Blade Runner (1982),Thriller,0.685694849529,-0.700250854959
"Nightmare Before Christmas,  The (1993)",Animation,1.15346209345,1.17747682399
"Nightmare Before Christmas,  The (1993)",Children,1.15346209345,1.17747682399
"Nightmare Before Christmas,  The (1993)",Fantasy,1.15346209345,1.17747682399
"Nightmare Before Christmas,  The (1993)",Musical,1.15346209345,1.17747682399
Home Alone (1990),Children,-1.64782187847,0.364653523061
Home Alone (1990),Comedy,-1.64782187847,0.364653523061
Ghost (1990),Comedy,-1.32626418602,0.741738767887
Ghost (1990),Drama,-1.32626418602,0.741738767887
Ghost (1990),Fantasy,-1.32626418602,0.741738767887
Ghost (1990),Romance,-1.32626418602,0.741738767887
Ghost (1990),Thriller,-1.32626418602,0.741738767887
Aladdin (1992),Adventure,-0.0145026900965,0.722415493349
Aladdin (1992),Animation,-0.0145026900965,0.722415493349
Aladdin (1992),Children,-0.0145026900965,0.722415493349
Aladdin (1992),Comedy,-0.0145026900965,0.722415493349
Aladdin (1992),Musical,-0.0145026900965,0.722415493349
Terminator 2: Judgment Day (1991),Action,0.604414221978,-0.0344455960193
Terminator 2: Judgment Day (1991),Sci-Fi,0.604414221978,-0.0344455960193
Dances with Wolves (1990),Adventure,0.262673836274,0.695446546419
Dances with Wolves (1990),Drama,0.262673836274,0.695446546419
Dances with Wolves (1990),Western,0.262673836274,0.695446546419
Batman (1989),Action,-0.279531123983,0.553690572364
Batman (1989),Crime,-0.279531123983,0.553690572364
Batman (1989),Thriller,-0.279531123983,0.553690572364
"Silence of the Lambs,  The (1991)",Crime,0.868755111145,-0.72861558653
"Silence of the Lambs,  The (1991)",Horror,0.868755111145,-0.72861558653
"Silence of the Lambs,  The (1991)",Thriller,0.868755111145,-0.72861558653
Beauty and the Beast (1991),Animation,0.482653713275,0.29730931977
Beauty and the Beast (1991),Children,0.482653713275,0.29730931977
Beauty and the Beast (1991),Fantasy,0.482653713275,0.29730931977
Beauty and the Beast (1991),Musical,0.482653713275,0.29730931977
Beauty and the Beast (1991),Romance,0.482653713275,0.29730931977
Beauty and the Beast (1991),IMAX,0.482653713275,0.29730931977
Pretty Woman (1990),Comedy,-0.950679634989,0.262574916483
Pretty Woman (1990),Romance,-0.950679634989,0.262574916483
Fargo (1996),Comedy,0.772657532157,-1.30615518603
Fargo (1996),Crime,0.772657532157,-1.30615518603
Fargo (1996),Drama,0.772657532157,-1.30615518603
Fargo (1996),Thriller,0.772657532157,-1.30615518603
Mission: Impossible (1996),Action,-0.665785118162,0.377858539679
Mission: Impossible (1996),Adventure,-0.665785118162,0.377858539679
Mission: Impossible (1996),Mystery,-0.665785118162,0.377858539679
Mission: Impossible (1996),Thriller,-0.665785118162,0.377858539679
"Rock,  The (1996)",Action,-0.379375110233,0.306358168904
"Rock,  The (1996)",Adventure,-0.379375110233,0.306358168904
"Rock,  The (1996)",Thriller,-0.379375110233,0.306358168904
Twister (1996),Action,-1.60694049271,0.955591268011
Twister (1996),Adventure,-1.60694049271,0.955591268011
Twister (1996),Romance,-1.60694049271,0.955591268011
